head,head_type,relation,tail,tail_type,relation_definition,sentence,sentence_number,canonical_relation
IOC,Plaintiff,filed,CS No.425 of 1997,,,Apprehending that NEPC India may remove the hypothecated aircraft (VT NEJ) from Coimbatore Airport to a place outside the hypothecated aircraft (VT NEJ) reach IOC filed CS No.425 of 1997 in the Madras High Court seeking a mandatory injunction to the Airport Authority of NEPC India and Director General of Civil Aviation to detain the said aircraft stationed at Coimbatore Airport u section 8 of the Aircraft Act 1934 so as to enable the Aircraft Act to take possession thereof.,36,filed
CS No.425 of 1997,,filed in,Madras High Court,Court,,Apprehending that NEPC India may remove the hypothecated aircraft (VT NEJ) from Coimbatore Airport to a place outside the hypothecated aircraft (VT NEJ) reach IOC filed CS No.425 of 1997 in the Madras High Court seeking a mandatory injunction to the Airport Authority of NEPC India and Director General of Civil Aviation to detain the said aircraft stationed at Coimbatore Airport u section 8 of the Aircraft Act 1934 so as to enable the Aircraft Act to take possession thereof.,36,filed in
CC No. 299 of 1999,Lawsuit,filed in,Judicial Magistrate No6 Coimbatore,Court,The case number is associated with the court where it was filed.,(i) CC No. 299 of 1999 before the Judicial Magistrate No6 Coimbatore regarding Aircraft bearing No. VT NEJ.,46,filed in
CC No. 299 of 1999,Lawsuit,regarding,Aircraft bearing No. VT NEJ,Location,The case involves an aircraft with the specified registration number.,(i) CC No. 299 of 1999 before the Judicial Magistrate No6 Coimbatore regarding Aircraft bearing No. VT NEJ.,46,regarding
the two complaints,Complaint,filed against,NEPC India,Defendant,A legal action brought against NEPC India for alleged wrongdoing.,the two complaints against NEPC India and its two Directors (respondents 2 3 herein) are,45,initiates action against
the two complaints,Complaint,filed against,its two Directors (respondents 2 and 3 herein),Defendant,A legal action brought against the directors for alleged wrongdoing.,the two complaints against NEPC India and its two Directors (respondents 2 3 herein) are,45,initiates action against
CC No. 286 of 1998,Case,heard by,Judicial Magistrate Alandur (Chennai),Court,The case number is associated with the judicial magistrate hearing it.,(ii) CC No. 286 of 1998 before the Judicial Magistrate Alandur (Chennai) regarding aircraft bearing No. VT NEK.,47,heard by
aircraft,Property,bearing No.,VT NEK,Property,The aircraft is identified by its registration number VT NEK in the legal context of the case.,(ii) CC No. 286 of 1998 before the Judicial Magistrate Alandur (Chennai) regarding aircraft bearing No. VT NEK.,47,bearing No.
Mr. A. Kumar,Plaintiff,filed lawsuit against,Acme Corporation,Defendant,Plaintiff initiated legal action against Defendant.,"On 12 March 2023, Mr. A. Kumar filed a lawsuit against Acme Corporation in the Delhi High Court.",49,files a lawsuit against
12 March 2023,Date and Time,date of filing,lawsuit,Lawsuit,Specifies the date when the lawsuit was filed.,"On 12 March 2023, Mr. A. Kumar filed a lawsuit against Acme Corporation in the Delhi High Court.",49,date of filing
Mr. A. Kumar,Plaintiff,filed in,Delhi High Court,Court,Indicates the court where the lawsuit was filed.,"On 12 March 2023, Mr. A. Kumar filed a lawsuit against Acme Corporation in the Delhi High Court.",49,assigns venue for
complaint,Complaint,in,CC No.299 1999 (Coimbatore Court),Jurisdiction,Indicates the jurisdiction and case number associated with the complaint.,The relevant averments in the complaint in CC No.299 1999 (Coimbatore Court) reads as under,50,assigns venue for
CC No.299 1999,Jurisdiction,heard by,Coimbatore Court,Court Official - Judge or Bench,Indicates the court where the case is heard.,The relevant averments in the complaint in CC No.299 1999 (Coimbatore Court) reads as under,50,allocates authority for
The complainant,Plaintiff,states,NEPC India Limited,Organization,The plaintiff provides information regarding the defendant's actions.,The complainant states that on 24498 Meenambakkam (Chennai) Airport IOC had come to know that NEPC India Limited in total disregard to the orders of the Hon.,51,states
High Court Madras,Court,had clandestinely removed,both the engines and certain other parts from the Aircraft VT NEJ,Property/Item,The High Court Madras is reported to have unauthorizedly removed engines and parts from an aircraft.,High Court Madras had clandestinely removed both the engines and certain other parts from the Aircraft VT NEJ Aircraft Sl.No.,52,had clandestinely removed
High Court Madras,Court,removed,Aircraft VT NEJ,Property/Item,The High Court Madras is reported to have removed an aircraft identified as VT NEJ.,High Court Madras had clandestinely removed both the engines and certain other parts from the Aircraft VT NEJ Aircraft Sl.No.,52,removed
10684 (Fokker F27 500),Company,stationed at,Coimbatore Airport,Location,The aircraft is stationed or located at the specified airport.,10684 (Fokker F27 500) stationed at the Coimbatore Airport Coimbatore.,53,is identified as
The complainant,Plaintiff,states,the act of NEPC India Limited in removing the engines and certain other parts from the Aircraft VT NEJ Aircraft Sl.,Criminal Act,"The complainant is making a statement regarding the actions of NEPC India Limited, which may constitute a criminal act.",The complainant states that besides the above the act of NEPC India Limited in removing the engines and certain other parts from the Aircraft VT NEJ Aircraft Sl.,54,alleges breach of
NEPC India Limited,Organization,committing,the act of removing the engines and certain other parts from the Aircraft VT NEJ Aircraft Sl.,Criminal Act,NEPC India Limited is committing a criminal act by removing engines and parts from the aircraft.,The complainant states that besides the above the act of NEPC India Limited in removing the engines and certain other parts from the Aircraft VT NEJ Aircraft Sl.,54,is committed by
Averments,Plaintiff,are part of,Complaint,Lawsuit,Statements or allegations made in a legal document that form the basis of a complaint.,The relevant averments in the complaint in CC No. 286 1998 (Alandur Court) read as under,59,presents against
Complaint,Lawsuit,filed in,Alandur Court,Court Official - Judge or Bench,A legal document filed with a court to initiate a lawsuit.,The relevant averments in the complaint in CC No. 286 1998 (Alandur Court) read as under,59,seeks declaratory judgment in
No notice,Date and Time,was given to,IOC,Plaintiff,,No notice was given to IOC in this regard.,56,was given to
Both the complaints,Lawsuit,contain allegations,common allegations,Evidence,The complaints include common allegations as part of their content.,Both the complaints also contain the following common allegations,64,contain allegations
common allegations,Evidence,are contained in,complaints,Lawsuit,The common allegations are part of the content of the complaints.,Both the complaints also contain the following common allegations,64,are contained in
The complainant,Plaintiff,states that the accused had with fraudulent intention to cheat and defraud,IOC,Plaintiff,The complainant (plaintiff) accuses the defendant (accused) of fraudulent intent to cheat and defraud IOC.,The complainant states that the accused had with fraudulent intention to cheat and defraud IOC had induced IOC to resume supply of Aircraft fuel on Cash and Carry basis by undertaking to clear the outstanding amount of Rs18 crores approximately within the time stipulated in the hypothecation agreements.,65,invokes breach of
the accused,Accused,failed to clear,outstanding amounts,Contract,The accused did not settle the overdue debts as agreed.,However the accused had failed to clear the said outstanding amounts and had breached the terms of the hypothecation agreements.,66,failed to clear
the accused,Accused,had breached,terms of the hypothecation agreements,Contract,The accused violated the conditions set forth in the security agreements.,However the accused had failed to clear the said outstanding amounts and had breached the terms of the hypothecation agreements.,66,claims breach of
Subsequently on 2092007,Date and Time,an agreement was entered into,an agreement,Contract,Specifies the temporal reference tied to the legal event of entering into an agreement.,Subsequently on 2092007 an agreement was entered into between IOC and M section NEPC India Limited.,67,establishes agreement between
IOC,Plaintiff,entered into,M section NEPC India Limited,Organization,Indicates the contractual relationship and agreement between IOC and M section NEPC India Limited.,Subsequently on 2092007 an agreement was entered into between IOC and M section NEPC India Limited.,67,enters agreement with
M section NEPC India Limited,Organization,failed to comply with,schedule of payments,Contractual Obligation,The organization did not adhere to the agreed payment terms outlined in the contracts.,However M section NEPC India Limited had failed to keep up the schedule of payments mentioned in the said agreements.,69,failed to comply with
M section NEPC India Limited,Organization,had agreements mentioning,said agreements,Contract(s),The organization was party to agreements that included specific payment schedules.,However M section NEPC India Limited had failed to keep up the schedule of payments mentioned in the said agreements.,69,binds
No. 10687 (Fokker F27 500),Aircraft,is against the terms of,the hypothecation deed dated 151997,Hypothecation Deed,,No. 10687 (Fokker F27 500) stationed at the Coimbatore Airport Coimbatore is against the terms of the hypothecation deed dated 151997 as well as the terms of the agreement dated 2091997 and will amount to offences punishable u section 378 (Theft) 403(Dishonest Misappropriation of Property) 405 (Criminal Breach of Trust) 415 (Cheating) 425 (Mischief) of the India Penal Code.,62,is against the terms of
No. 10687 (Fokker F27 500),Aircraft,is against the terms of,the agreement dated 2091997,Agreement,,No. 10687 (Fokker F27 500) stationed at the Coimbatore Airport Coimbatore is against the terms of the hypothecation deed dated 151997 as well as the terms of the agreement dated 2091997 and will amount to offences punishable u section 378 (Theft) 403(Dishonest Misappropriation of Property) 405 (Criminal Breach of Trust) 415 (Cheating) 425 (Mischief) of the India Penal Code.,62,is against the terms of
offences,Offence,punishable u section,378 (Theft),IPC Section,,No. 10687 (Fokker F27 500) stationed at the Coimbatore Airport Coimbatore is against the terms of the hypothecation deed dated 151997 as well as the terms of the agreement dated 2091997 and will amount to offences punishable u section 378 (Theft) 403(Dishonest Misappropriation of Property) 405 (Criminal Breach of Trust) 415 (Cheating) 425 (Mischief) of the India Penal Code.,62,punishable u section
M section NEPC India Limited,Organization,agreed to clear,IOC,Plaintiff,M section NEPC India Limited's agreement to pay an outstanding amount to IOC.,As per the terms of the above agreement M section NEPC India Limited had agreed to clear the outstanding amount of Rs18 crores approximately due to IOC from M section NEPC India Limited and M section Skyline NEPC Limited within a time frame.,68,binds
IOC,Plaintiff,has got every right to take possession of,Aircraft VT NEK as well as VT NEJ,Location,The legal assertion that IOC has the authority to seize and possess the specified aircraft.,The facts narrated above will clearly show that IOC has got every right to take possession of the Aircraft VT NEK as well as VT NEJ.,70,has got every right to take possession of
The respondents herein,Respondent,filed,Crl.,Lawsuit,The Respondents filed a lawsuit identified as Crl.,The respondents herein filed Crl.,75,files defense for
The complaints,Dispute,related to,purely contractual disputes of a civil nature,Contractual Dispute,The complaints are related to legal disputes arising from contracts in a civil context.,(i) The complaints related to purely contractual disputes of a civil nature in respect of which IOC had already sought injunctive reliefs and money decrees.,78,related to
IOC,Plaintiff,had already sought,injunctive reliefs and money decrees,Legal Remedy,"The IOC, as the plaintiff, had initiated legal actions to obtain injunctive relief and monetary decrees.",(i) The complaints related to purely contractual disputes of a civil nature in respect of which IOC had already sought injunctive reliefs and money decrees.,78,had already sought
complaints,Lawsuit,did not constitute,"any criminal offence as defined under sections 378, 403, 405, 415 or 425 IPC",Criminal Act,The allegations in the complaints were found to not meet the criteria for a criminal offence under specified sections of the Indian Penal Code (IPC).,"(ii) Even if all the allegations in the complaints were taken as true, all the allegations in the complaints did not constitute any criminal offence as defined under sections 378, 403, 405, 415 or 425 IPC.",79,did not constitute
482 of Cr.PC,Provision,is a provision of,Cr.PC,Statute,Section 482 is a specific clause within the Criminal Procedure Code that allows for the quashing of complaints.,482 of Cr.PC for quashing the said two complaints on the following two grounds,77,applies in
The High Court,Court,allowed,both the petitions,Petition,The High Court granted permission for both petitions to proceed or be considered.,The High Court by common judgment dated 2332001 allowed both the petitions and quashed the two complaints.,82,grants leave to
The High Court,Court,quashed,the two complaints,Complaint,"The High Court dismissed and invalidated the two complaints, effectively ending them.",The High Court by common judgment dated 2332001 allowed both the petitions and quashed the two complaints.,82,quashed
breach of contract,Contract,causes,disputes,Dispute,A breach of contract can lead to disputes arising from the failure to meet contractual obligations.,(i) Whether existence or availment of civil remedy in respect of disputes arising from breach of contract bars remedy under criminal law,86,causes
existence or availment of civil remedy,Contract,bars,remedy under criminal law,Criminal Act,The existence or availment of a civil remedy in respect of disputes arising from breach of contract may bar the remedy under criminal law.,(i) Whether existence or availment of civil remedy in respect of disputes arising from breach of contract bars remedy under criminal law,86,grants relief to
allegations in the complaint,Lawsuit,"constitute offence under sections 378,403,405,415 or 425 IPC","offence under sections 378,403,405,415 or 425 IPC",Provision,The allegations in the complaint are examined to determine if they constitute an offence under specified sections of the Indian Penal Code (IPC).,"(ii) Whether the allegations in the complaint if accepted on face value constitute any offence under sections 378,403,405,415 or 425 IPC.",87,"constitute offence under sections 378,403,405,415 or 425 IPC"
The said order,Lawsuit,is under challenge,these appeals,Appeal,The legal process where a decision made by the High Court is contested.,The said order of The High Court is under challenge in these appeals.,84,grants appeal for
The High Court,Court,stated,482 of the Code of Criminal Procedure,Statute,The High Court has restated or reiterated the provisions of section 482 of the Code of Criminal Procedure.,482 of the Code of Criminal Procedure to quash complaints and criminal proceedings have been stated and reiterated by The High Court in several decisions.,92,stated
The High Court,Court,allows for,quashing complaints and criminal proceedings,Dispute,"Section 482 of the Code of Criminal Procedure allows for the quashing of complaints and criminal proceedings, as reiterated by The High Court.",482 of the Code of Criminal Procedure to quash complaints and criminal proceedings have been stated and reiterated by The High Court in several decisions.,92,applies to case of
The High Court,Court,judgment_date,2332001,,,The High Court by common judgment dated 2332001 accepted the second ground urged by The respondents herein but rejected the second ground urged by the Respondents herein.,83,judgment_date
The High Court,Court,accepted_ground,the second ground urged by The respondents,,,The High Court by common judgment dated 2332001 accepted the second ground urged by The respondents herein but rejected the second ground urged by the Respondents herein.,83,accepted_ground
The High Court,Court,rejected_ground,the second ground urged by the Respondents,,,The High Court by common judgment dated 2332001 accepted the second ground urged by The respondents herein but rejected the second ground urged by the Respondents herein.,83,rejected_ground
2004 Indlaw SC 899,Judgment,establishes,The principles relevant to our purpose are,Ratio-Decidendi,A legal judgment that sets forth the ratio decidendi or key principles of law.,2004 Indlaw SC 899 The principles relevant to our purpose are,95,forms basis of
The principles relevant to our purpose are,Ratio-Decidendi,are established by,2004 Indlaw SC 899,Judgment,The principles or reasoning central to a court’s judgment that form binding precedent.,2004 Indlaw SC 899 The principles relevant to our purpose are,95,are established by
A complaint,Lawsuit,has to be examined,Court,Court,Indicates that the Complaint is subject to examination by a Court without evaluating the merits of the allegations.,For this purpose A complaint has to be examined as a whole but without examining the merits of the allegations.,99,has to be examined
Defendant,Party,prayer for quashing,Complaint,Lawsuit,A request by the defendant to dismiss or set aside a complaint filed by the plaintiff.,Neither a detailed inquiry nor a meticulous analysis of the material nor an assessment of the reliability or genuineness of the allegations in A complaint is warranted while examining prayer for quashing of a complaint.,100,seeks dismissal of
The power to quash,Court,shall not be used to,stifle or scuttle a legitimate prosecution,Government,The authority not to improperly hinder a legitimate legal proceeding.,(iii) The power to quash shall not however be used to stifle or scuttle a legitimate prosecution.,102,shall not be used to
The High Court,Court,may quash,A complaint,Lawsuit,The court may dismiss a complaint if it constitutes an abuse of the legal process.,A complaint may also be quashed where A complaint is a clear abuse of the process of The High Court as when the criminal proceeding is found to have been initiated with malafides malice for wreaking vengeance or to cause harm or where the allegations are absurd and inherently improbable.,101,dismisses case against
The High Court,Court,finds that criminal proceedings initiated with malafides malice,criminal proceeding,Criminal Act,The court identifies and handles cases where criminal proceedings are initiated with malicious intent.,A complaint may also be quashed where A complaint is a clear abuse of the process of The High Court as when the criminal proceeding is found to have been initiated with malafides malice for wreaking vengeance or to cause harm or where the allegations are absurd and inherently improbable.,101,finds that criminal proceedings initiated with malafides malice
A complaint,Lawsuit,can be quashed where,allegations made in [Complaint],Argument,,(i) A complaint can be quashed where the allegations made in A complaint even if they are taken at they face value and accepted in they entirety do not prima facie constitute any offence or make out the case alleged against the accused.,96,defends itself in
allegations made in [Complaint],Argument,do not make out,the case alleged against the accused,Lawsuit,,(i) A complaint can be quashed where the allegations made in A complaint even if they are taken at they face value and accepted in they entirety do not prima facie constitute any offence or make out the case alleged against the accused.,96,do not make out
A complaint,Lawsuit,is not required to verbatim reproduce the legal ingredients of,the offence alleged,Criminal Act,A lawsuit's complaint does not need to precisely repeat all legal aspects of the alleged crime.,(iv) A complaint is not required to verbatim reproduce the legal ingredients of the offence alleged.,104,is not required to verbatim reproduce the legal ingredients of
Madhavrao Jiwaji Rao Scindia,Party,versus,Sambhajirao Chandrojirao Angre,Party,Indicates a legal case between two parties.,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 599 State of Haryana versus   666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,93,permits representation in
State of Haryana,Party,versus,Bhajanlal,Party,Indicates a legal case between two parties.,To mention a few Madhavrao Jiwaji Rao Scindia versus  Sambhajirao Chandrojirao Angre 1988 (1) SCC 692 1988 Indlaw SC 599 State of Haryana versus  Bhajanlal 1992 Supreme Court Cases (1) SCC 335 Rupan Deol Bajaj versus  Kanwar Pal Singh Gill 1995 (6) SCC 194 1995 Indlaw SC 1896 Central Bureau of Investigation versus  Duncans Agro Industries limited 1996 (5) SCC 591 1996 Indlaw SC 2982 State of Bihar versus  Rajendra Agrawalla 1996 (8) SCC 164 1996 Indlaw SC 4034 Rajesh Bajaj versus State NCT of Delhi 1999 (3) SCC 259 1999 Indlaw SC 447 Medchl Chemicals Pharma (P) limited  versus  Biological E limited 2000 (3) SCC 269 2000 Indlaw SC 599 State of Haryana versus   666 Hridaya Ranjan Prasad Verma versus State of Bihar 2000 (4) SCC 168 2000 Indlaw SC 248 M. Krishnan versus Vijay Kumar 2001 (8) SCC 645 2001 Indlaw SC 21143 and Zandu Phamaceutical Works limited versus  Mohd.,93,versus
