head,head_type,relation,tail,tail_type,relation_definition,sentence,sentence_number
Crl.OP No1563 of 2000,Case Number,allowed by,the common order dated 2932001 passed by the Madras High Court allowing Crl.OP Nos2418 of 1999 and 1563 of 2000.,Court Official - Judge or Bench,,These appeals are filed against the common order dated 2932001 passed by the Madras High Court allowing Crl.OP Nos2418 of 1999 and 1563 of 2000.,8
Appeals,Appeal,filed against,common order,Location,The appeals are filed against the common legal judgment.,These appeals are filed against the common order passed by the Madras High Court.,8
2932001,Date and Time,related to,common order,Location,The date indicates when the legal decision was made.,The appeal is against the common order passed on this date.,8
Respondents,,filed two petitions,petitions,,,"The said two petitions were filed by the respondents herein u/s. 482 of Criminal Procedure Code ('Code' for short) for quashing the complaints filed by the appellant against them in CC No.299 of 1999 on the file of Judicial Magistrate No6, Coimbatore and CC No. 286 of 1998 on the file of Judicial Magistrate, Alandur (Chennai).",9
Appellant,,filed complaints against,respondents,,,"The said two petitions were filed by the respondents herein u/s. 482 of Criminal Procedure Code ('Code' for short) for quashing the complaints filed by the appellant against them in CC No.299 of 1999 on the file of Judicial Magistrate No6, Coimbatore and CC No. 286 of 1998 on the file of Judicial Magistrate, Alandur (Chennai).",9
Respondents,Infringer/Defendant,filed petitions against,complaints filed by appellant,,Legal action taken to quash complaints,"The said two petitions were filed by the respondents herein u/s. 482 of Criminal Procedure Code ('Code' for short) for quashing the complaints filed by the appellant against them in CC No.299 of 1999 on the file of Judicial Magistrate No6, Coimbatore and CC No. 286 of 1998 on the file of Judicial Magistrate, Alandur (Chennai).",9
Criminal Procedure Code,Statute,used by,respondents herein,,Referred to in legal actions to quash complaints,"The said two petitions were filed by the respondents herein u/s. 482 of Criminal Procedure Code ('Code' for short) for quashing the complaints filed by the appellant against them in CC No.299 of 1999 on the file of Judicial Magistrate No6, Coimbatore and CC No. 286 of 1998 on the file of Judicial Magistrate, Alandur (Chennai).",9
CC No. 299 of 1999,Criminal Case,on the file of,"Judicial Magistrate No6, Coimbatore",,Location where legal actions are recorded,"The said two petitions were filed by the respondents herein u/s. 482 of Criminal Procedure Code ('Code' for short) for quashing the complaints filed by the appellant against them in CC No.299 of 1999 on the file of Judicial Magistrate No6, Coimbatore and CC No. 286 of 1998 on the file of Judicial Magistrate, Alandur (Chennai).",9
CC No. 286 of 1998,Criminal Case,on the file of,"Judicial Magistrate, Alandur (Chennai)",,Location where legal actions are recorded,"The said two petitions were filed by the respondents herein u/s. 482 of Criminal Procedure Code ('Code' for short) for quashing the complaints filed by the appellant against them in CC No.299 of 1999 on the file of Judicial Magistrate No6, Coimbatore and CC No. 286 of 1998 on the file of Judicial Magistrate, Alandur (Chennai).",9
The respondents,,filed under,section 482 of Criminal Procedure Code,,,"The said two petitions were filed by the respondents herein u/s. 482 of Criminal Procedure Code ('Code' for short) for quashing the complaints filed by the appellant against them in CC No.299 of 1999 on the file of Judicial Magistrate No6, Coimbatore and CC No. 286 of 1998 on the file of Judicial Magistrate, Alandur (Chennai).",9
Appellant,,filed against,respondents,,,"The said two petitions were filed by the respondents herein u/s. 482 of Criminal Procedure Code ('Code' for short) for quashing the complaints filed by the appellant against them in CC No.299 of 1999 on the file of Judicial Magistrate No6, Coimbatore and CC No. 286 of 1998 on the file of Judicial Magistrate, Alandur (Chennai).",9
CC No.299/1999,,on file of,Judicial Magistrate No6,,,"The said two petitions were filed by the respondents herein u/s. 482 of Criminal Procedure Code ('Code' for short) for quashing the complaints filed by the appellant against them in CC No.299 of 1999 on the file of Judicial Magistrate No6, Coimbatore and CC No. 286 of 1998 on the file of Judicial Magistrate, Alandur (Chennai).",9
CC No.286/1998,,on file of,"Judicial Magistrate, Alandur",,,"The said two petitions were filed by the respondents herein u/s. 482 of Criminal Procedure Code ('Code' for short) for quashing the complaints filed by the appellant against them in CC No.299 of 1999 on the file of Judicial Magistrate No6, Coimbatore and CC No. 286 of 1998 on the file of Judicial Magistrate, Alandur (Chennai).",9
,,filed by,,,,"The said two petitions were filed by the respondents herein u/s. 482 of Criminal Procedure Code ('Code' for short) for quashing the complaints filed by the appellant against them in CC No.299 of 1999 on the file of Judicial Magistrate No6, Coimbatore and CC No. 286 of 1998 on the file of Judicial Magistrate, Alandur (Chennai).",9
,,filed against,,,,"The said two petitions were filed by the respondents herein u/s. 482 of Criminal Procedure Code ('Code' for short) for quashing the complaints filed by the appellant against them in CC No.299 of 1999 on the file of Judicial Magistrate No6, Coimbatore and CC No. 286 of 1998 on the file of Judicial Magistrate, Alandur (Chennai).",9
difinition,unknown,demonstrated,position of fixing a deal,deal,The definition demonstrated that they are not in the position of fixing a deal.,The difinition demonstrated that they are not in the position of fixing a deal.,3
Indian Oil Corporation (IOC),organization,contracted with,NEPC India Ltd,organization,The organization entered into a contract with another organization.,"The appellant, Indian Oil Corporation (IOC), entered into two contracts: one with NEPC India Ltd and the other with its sister company Skyline NEPC Limited.",12
Skyline NEPC Limited,organization,contracted with,Skyline NEPC Limited,organization,The organization entered into a contract with its sister company.,"The appellant, Indian Oil Corporation (IOC), entered into two contracts: one with NEPC India Ltd and the other with its sister company Skyline NEPC Limited.",12
Indian Oil Corporation for short 'IOC',Company,entered into,NEPC India Ltd and Skyline NEPC Limited,Companies,"IOC, as a company, entered into contracts with other companies.",The appellant (Indian Oil Corporation for short 'IOC') entered into two contracts one with the first respondent (NEPC India Ltd) and the other with its sister company Skyline NEPC Limited ('Skyline' for short) agreeing to supply to them aviation turbine fuel and aviation lubricants (together referred to as aircraft fuel ).,12
Indian Oil Corporation,Party,entered into contract with,NEPC India Ltd,Party,"The appellant, Indian Oil Corporation (IOC), entered into a contract with NEPC India Ltd.",The appellant (Indian Oil Corporation for short 'IOC') entered into two contracts one with the first respondent (NEPC India Ltd) and the other with its sister company Skyline NEPC Limited ('Skyline' for short) agreeing to supply to them aviation turbine fuel and aviation lubricants (together referred to as aircraft fuel ).,12
Indian Oil Corporation,Party,entered into contract with,Skyline NEPC Limited,Party,"The appellant, Indian Oil Corporation (IOC), entered into a contract with Skyline NEPC Limited.",The appellant (Indian Oil Corporation for short 'IOC') entered into two contracts one with the first respondent (NEPC India Ltd) and the other with its sister company Skyline NEPC Limited ('Skyline' for short) agreeing to supply to them aviation turbine fuel and aviation lubricants (together referred to as aircraft fuel ).,12
Indian Oil Corporation (IOC),petitioner,contracted with,NEPC India Ltd,respondent,The petitioner entered into a contract with the respondent.,The appellant (Indian Oil Corporation for short 'IOC') entered into two contracts one with the first respondent (NEPC India Ltd) and the other with its sister company Skyline NEPC Limited ('Skyline' for short) agreeing to supply to them aviation turbine fuel and aviation lubricants (together referred to as aircraft fuel ).,12
Indian Oil Corporation (IOC),petitioner,contracted with another,Skyline NEPC Limited,respondent,The petitioner entered into a contract with another respondent.,The appellant (Indian Oil Corporation for short 'IOC') entered into two contracts one with the first respondent (NEPC India Ltd) and the other with its sister company Skyline NEPC Limited ('Skyline' for short) agreeing to supply to them aviation turbine fuel and aviation lubricants (together referred to as aircraft fuel ).,12
first respondent,respondent,hypothecated,Deed of Hypothecation,deed,The respondent created a legal lien on the aircraft to secure outstanding amounts.,The first respondent hypothecated its two Fokker F27 500 Aircrafts bearing Registration No. VT NEJ (12684) and VT NEK (10687) to the appellant under Deed of Hypothecation dated 151997 to secure the outstanding amounts.,16
two Fokker F27 500 Aircrafts,aircraft,hypothecated,Deed of Hypothecation,deed,The aircraft were subject to a legal lien created by the respondent.,The first respondent hypothecated its two Fokker F27 500 Aircrafts bearing Registration No. VT NEJ (12684) and VT NEK (10687) to the appellant under Deed of Hypothecation dated 151997 to secure the outstanding amounts.,16
VT NEJ (12684),aircraft_registration,hypothecated,Deed of Hypothecation,deed,The aircraft with registration number VT NEJ was subject to a legal lien.,The first respondent hypothecated its two Fokker F27 500 Aircrafts bearing Registration No. VT NEJ (12684) and VT NEK (10687) to the appellant under Deed of Hypothecation dated 151997 to secure the outstanding amounts.,16
VT NEK (10687),aircraft_registration,hypothecated,Deed of Hypothecation,deed,The aircraft with registration number VT NEK was subject to a legal lien.,The first respondent hypothecated its two Fokker F27 500 Aircrafts bearing Registration No. VT NEJ (12684) and VT NEK (10687) to the appellant under Deed of Hypothecation dated 151997 to secure the outstanding amounts.,16
The first respondent,Party,hypothecated to,the appellant,Party,The first respondent used a deed of hypothecation to transfer aircrafts to the appellant to secure outstanding amounts.,The first respondent hypothecated its two Fokker F27 500 Aircrafts bearing Registration No. VT NEJ (12684) and VT NEK (10687) to the appellant under Deed of Hypothecation dated 151997 to secure the outstanding amounts.,16
The first respondent,respondent,hypothecated to,the appellant,petitioner,The respondent used a deed of hypothecation to secure the outstanding amounts owed by the petitioner.,The first respondent hypothecated its two Fokker F27 500 Aircrafts bearing Registration No. VT NEJ (12684) and VT NEK (10687) to the appellant under Deed of Hypothecation dated 151997 to secure the outstanding amounts.,16
,,filed a case against,,,,According to the appellant in respect of the aircraft fuel supplied under the said contracts the first respondent became due in a sum of Rs.5 28 23 501.90 and Skyline became due in a sum of Rs.13 12 76 421.25 as on 2941997.,13
,,filed a case against,,,,According to the appellant in respect of the aircraft fuel supplied under the said contracts the first respondent became due in a sum of Rs.5 28 23 501.90 and Skyline became due in a sum of Rs.13 12 76 421.25 as on 2941997.,13
appellant,Appellant,in respect of,aircraft fuel supplied under the said contracts,subject matter,The appellant brought a case regarding aircraft fuel supplied under specific contracts.,"According to the appellant in respect of the aircraft fuel supplied under the said contracts, the first respondent became due in a sum of Rs.5 28 23 501.90 and Skyline became due in a sum of Rs.13 12 76 421.25 as on 2941997.",13
first respondent,Respondent,became due in,sum of Rs.5 28 23 501.90,financial obligation,The first respondent incurred a financial obligation of Rs.5 28 23 501.90.,"According to the appellant in respect of the aircraft fuel supplied under the said contracts, the first respondent became due in a sum of Rs.5 28 23 501.90 and Skyline became due in a sum of Rs.13 12 76 421.25 as on 2941997.",13
Skyline,Party,became due in,sum of Rs.13 12 76 421.25,financial obligation,Skyline incurred a financial obligation of Rs.13 12 76 421.25.,"According to the appellant in respect of the aircraft fuel supplied under the said contracts, the first respondent became due in a sum of Rs.5 28 23 501.90 and Skyline became due in a sum of Rs.13 12 76 421.25 as on 2941997.",13
appellant,petitioner,in respect of,aircraft fuel supplied under the said contracts,dispute,The petitioner brought up the matter regarding aircraft fuel supply under the contracts.,"According to the petitioner in respect of the aircraft fuel supplied under the said contracts, the first respondent became due in a sum of Rs.5 28 23 501.90 and Skyline became due in a sum of Rs.13 12 76 421.25 as on 2941997.",13
first respondent,respondent,became due in,Rs.5 28 23 501.90,sum,The first respondent became due in the specified sum of money.,"According to the petitioner in respect of the aircraft fuel supplied under the said contracts, the first respondent became due in a sum of Rs.5 28 23 501.90 and Skyline became due in a sum of Rs.13 12 76 421.25 as on 2941997.",13
Skyline,respondent,became due in,Rs.13 12 76 421.25,sum,The respondent Skyline became due in the specified sum of money.,"According to the petitioner in respect of the aircraft fuel supplied under the said contracts, the first respondent became due in a sum of Rs.5 28 23 501.90 and Skyline became due in a sum of Rs.13 12 76 421.25 as on 2941997.",13
2941997,date and time,as on,Rs.5 28 23 501.90 and Rs.13 12 76 421.25,sum,The sums became due as of the specified date.,"According to the petitioner in respect of the aircraft fuel supplied under the said contracts, the first respondent became due in a sum of Rs.5 28 23 501.90 and Skyline became due in a sum of Rs.13 12 76 421.25 as on 2941997.",13
Cl. (3),statute,read with,schedule,schedule,Clause 3 of the statute was read alongside the schedule.,Clause (3) read with the schedule set out the instalments schedule for payment of the amount due.,18
schedule,schedule,set out,instalments schedule for payment of the amount due,contract,The schedule outlined the instalment schedule for the payment of the amount due.,Clause (3) read with the schedule set out the instalments schedule for payment of the amount due.,18
Clause (3),,read with,schedule,,,Cl. (3) read with the schedule set out the instalments schedule for payment of the amount due.,18
schedule,,,amount due,,,Cl. (3) read with the schedule set out the instalments schedule for payment of the amount due.,18
Cl. (2) of the said Deed,contract,provided that,two aircrafts with all parts and accessories,security,The deed provided terms for security over the aircrafts.,Cl. (2) of the said Deed provided that the two aircrafts with all parts and accessories stood hypothecated to IOC by way of charge and as security for payment of the amounts due with effect from the date of hypothecation.,17
two aircrafts with all parts and accessories,security,stood hypothecated against,IOC,company,The aircrafts were hypothecated as security to IOC.,Cl. (2) of the said Deed provided that the two aircrafts with all parts and accessories stood hypothecated to IOC by way of charge and as security for payment of the amounts due with effect from the date of hypothecation.,17
,,,,,,The definition demonstrated that they are not in the position of fixing a deal.,20
NEPC India,organization,handed over,IOC,organization,The organization transferred title deeds to another organization.,Cl. 12 confirmed that NEPC India had handed over the title deeds relating to the aircraft to IOC and agreed to receive them back only after paying the amounts due.,24
NEPC India,Company,handed over,title deeds relating to aircraft,document,,Cl. 12 confirmed that NEPC India had handed over the title deeds relating to the aircraft to IOC and agreed to receive them back only after paying the amounts due.,24
IOC,Organization,agreed to receive,amounts due,financial obligation,,Cl. 12 confirmed that NEPC India had handed over the title deeds relating to the aircraft to IOC and agreed to receive them back only after paying the amounts due.,24
Cl. 12,provision,confirmed that NEPC India had handed over the title deeds relating to the aircraft,NEPC India,party,The clause confirmed that NEPC India transferred the title deeds related to the aircraft.,Clause 12 confirmed that NEPC India had handed over the title deeds relating to the aircraft to IOC and agreed to receive them back only after paying the amounts due.,24
NEPC India,party,had handed over the title deeds relating to the aircraft,IOC,party,NEPC India transferred ownership of the aircraft's title deeds to IOC.,Clause 12 confirmed that NEPC India had handed over the title deeds relating to the aircraft to IOC and agreed to receive them back only after paying the amounts due.,24
NEPC India,organization,handed over title deeds relating to the aircraft,IOC,organization,NEPC India transferred ownership of the aircraft's title deeds to IOC.,Cl. 12 confirmed that NEPC India had handed over the title deeds relating to the aircraft to IOC and agreed to receive them back only after paying the amounts due.,24
It,contract,undertook not to do any act which may diminish the value of the hypothecated property without clearing the entire outstanding amount.,hypothecated property,property,The party undertook not to perform actions that would reduce the value of the property unless the outstanding amount is cleared.,It also undertook not to do any act which may diminish the value of the hypothecated property without clearing the entire outstanding amount.,22
It,Party,undertook not to do any act which may diminish the value of the hypothecated property without clearing the entire outstanding amount.,any act which may diminish the value of the hypothecated property without clearing the entire outstanding amount,Party,The party undertook an obligation not to perform certain actions until a specific condition is met.,It also undertook not to do any act which may diminish the value of the hypothecated property without clearing the entire outstanding amount.,22
Dispute,,Undertaking obligations tied to property and financial conditions.,"Hypothecated property, outstanding amount",,,It also undertook not to do any act which may diminish the value of the hypothecated property without clearing the entire outstanding amount.,22
NEPC India,Company,declared that it would not assign sell pledge charge underlet or otherwise encumber or part with the possession custody or beneficial interest in respect of the two aircrafts without the previous written consent of IOC.,two aircrafts,Property,"NEPC India cannot assign, sell, or otherwise transfer possession of the aircrafts without prior written consent from IOC under clause (6) NEPC India declaration.",Under clause (6) NEPC India declared that it would not assign sell pledge charge underlet or otherwise encumber or part with the possession custody or beneficial interest in respect of the two aircrafts without the previous written consent of IOC.,21
NEPC India,Government,declared,clause (6),Provision,Declared that it would not assign sell pledge charge underlet or otherwise encumber or part with the possession custody or beneficial interest in respect of the two aircrafts without the previous written consent of IOC.,Under clause (6) NEPC India declared that it would not assign sell pledge charge underlet or otherwise encumber or part with the possession custody or beneficial interest in respect of the two aircrafts without the previous written consent of IOC.,21
IOC,Government,consent,NEPC India,Government,Written consent is required for certain actions.,Under clause (6) NEPC India declared that it would not assign sell pledge charge underlet or otherwise encumber or part with the possession custody or beneficial interest in respect of the two aircrafts without the previous written consent of IOC.,21
NEPC India,organization,granted right to,IOC,organization,NEPC India granted IOC the right to take possession of the property under certain conditions.,"Cl. (9) provided that if NEPC India failed to pay any of the installments with interest within the stipulated time or if any undertaking or assurance given by NEPC India was found to be false, IOC shall have the right to take possession of the hypothecated property and sell the same by public auction or by private contract and appropriate the sale proceeds towards the outstanding dues without recourse to court of law.",23
Cl. (9),,provided that,NEPC India,,,Cl. (9) provided that if NEPC India failed to pay any of the installments with interest within the stipulated time or if any undertaking or assurance given by NEPC India was found to be false IOC shall have the right to take possession of the hypothecated property and sell the same by public auction or by private contract and appropriate the sale proceeds towards the outstanding dues without recourse to court of law.,23
IOC,,shall have the right,NEPC India,,,Cl. (9) provided that if NEPC India failed to pay any of the installments with interest within the stipulated time or if any undertaking or assurance given by NEPC India was found to be false IOC shall have the right to take possession of the hypothecated property and sell the same by public auction or by private contract and appropriate the sale proceeds towards the outstanding dues without recourse to court of law.,23
Cl. (9),,provided that,if NEPC India failed to pay any of the installments with interest within the stipulated time or if any undertaking or assurance given by NEPC India was found to be false,,,Cl. (9) provided that if NEPC India failed to pay any of the installments with interest within the stipulated time or if any undertaking or assurance given by NEPC India was found to be false IOC shall have the right to take possession of the hypothecated property and sell the same by public auction or by private contract and appropriate the sale proceeds towards the outstanding dues without recourse to court of law.,23
IOC,,shall have the right,to take possession of the hypothecated property and sell the same by public auction or by private contract and appropriate the sale proceeds towards the outstanding dues without recourse to court of law.,,,Cl. (9) provided that if NEPC India failed to pay any of the installments with interest within the stipulated time or if any undertaking or assurance given by NEPC India was found to be false IOC shall have the right to take possession of the hypothecated property and sell the same by public auction or by private contract and appropriate the sale proceeds towards the outstanding dues without recourse to court of law.,23
NEPC India,respondent,if failed to pay installments...,IOC,petitioner,"If NEPC India failed to meet obligations, IOC could enforce actions.","Cl. (9) provided that if NEPC India failed to pay any of the installments with interest within the stipulated time or if any undertaking or assurance given by NEPC India was found to be false, IOC shall have the right to take possession of the hypothecated property and sell the same by public auction or by private contract and appropriate the sale proceeds towards the outstanding dues without recourse to court of law.",23
IOC NEPC India,organization,entered among,Skyline,organization,IOC NEPC India and Skyline entered into a tripartite agreement.,It is further stated that a tripartite agreement dated 651997 was entered among IOC NEPC India and Skyline setting out the mode of payment of the dues and recovery in the event of default.,26
Skyline,organization,entered among,IOC NEPC India,organization,Skyline and IOC NEPC India entered into a tripartite agreement.,It is further stated that a tripartite agreement dated 651997 was entered among IOC NEPC India and Skyline setting out the mode of payment of the dues and recovery in the event of default.,26
tripartite agreement,contract,entered among,IOC NEPC India and Skyline,companies,a contract was formed between IOC NEPC India and Skyline.,It is further stated that a tripartite agreement dated 651997 was entered among IOC NEPC India and Skyline setting out the mode of payment of the dues and recovery in the event of default.,26
IOC NEPC India,Party,entered into,Tripartite agreement,Agreement,The party entered into the Tripartite agreement with another entity.,IOC NEPC India entered into the Tripartite agreement with Skyline.,26
Skyline,Party,entered into,Tripartite agreement,Agreement,The party entered into the Tripartite agreement with another entity.,Skyline entered into the Tripartite agreement with IOC NEPC India.,26
Skyline,Company,hypothecated under,Hypothecation Deed,Document,"Skyline, as a company, hypothecated its aircraft under a separate Hypothecation Deed.",It is stated that Skyline also hypothecated its aircraft (VT ECP) under a separate Hypothecation Deed dated 1451997.,25
Skyline,Party,hypothecated,aircraft (VT ECP),Asset,A party can hypothecate an asset as collateral.,It is stated that Skyline also hypothecated its aircraft (VT ECP) under a separate Hypothecation Deed dated 1451997.,25
Skyline,Party,under,Hypothecation Deed,Legal Document,A party can be under a separate Hypothecation Deed.,It is stated that Skyline also hypothecated its aircraft (VT ECP) under a separate Hypothecation Deed dated 1451997.,25
Skyline,organization,hypothecated under,Hypothecation Deed,document,The organization used a document to hypothecate its aircraft.,It is stated that Skyline also hypothecated its aircraft (VT ECP) under a separate Hypothecation Deed dated 1451997.,25
NEPC India,organization,failed to pay,first two installments,installment,,As NEPC India failed to pay the first two installments as per schedule IOC stopped supply of aircraft fuel on 361997.,29
NEPC India,Company,failed to pay the first two installments as per schedule,Contract,Contract,"Company failed to fulfill payment obligations under a contract, leading to supply stoppage.","As NEPC India failed to pay the first two installments as per schedule, IOC stopped supply of aircraft fuel on 29/7/1997.",29
IOC,Company,stopped supply of aircraft fuel,Contract,Contract,The company stopped supplying due to the other party's failure to pay under a contract.,"As NEPC India failed to pay the first two installments as per schedule, IOC stopped supply of aircraft fuel on 29/7/1997.",29
The definition,statute,demonstrated that they are not in the position of fixing a deal,fixing a deal,contract,the legal entity (statute) demonstrated that it is not in the position to fix a contract.,The definition demonstrated that they are not in the position of fixing a deal.,33
definition,ratio-decidi,demonstrated that they are not in the position of fixing a deal,they,accused,the legal principle or reasoning related to the accused's position.,The definition demonstrated that they are not in the position of fixing a deal.,33
IOC,organization,agreed to re-commence supply of aircraft fuel on 'cash and carry' basis,revised payment schedule,agreement,The organization agreed to terms regarding the supply of aircraft fuel under a revised payment schedule.,"However subsequently under a fresh agreement dated 2091997, a revised payment schedule was agreed and IOC agreed to re commence supply of aircraft fuel on 'cash and carry' basis.",30
revised payment schedule,contract,agreed under,agreement,contract,The revised payment schedule was part of the contract agreed under the agreement.,"Under a fresh agreement, a revised payment schedule was agreed, and IOC agreed to re-commence supply of aircraft fuel on 'cash and carry' basis.",30
IOC,company,agreed to,re-commence supply,supply,"The company, IOC, agreed to resume supplying aircraft fuel.","Under a fresh agreement, a revised payment schedule was agreed, and IOC agreed to re-commence supply of aircraft fuel on 'cash and carry' basis.",30
IOC,Organization,agreed to re-commence supply of aircraft fuel,revised payment schedule,Provision,,However subsequently under a fresh agreement dated 2091997 a revised payment schedule was agreed and IOC agreed to re commence supply of aircraft fuel on 'cash and carry' basis.,30
fresh agreement,Legal Document,was agreed,revised payment schedule,Provision,,However subsequently under a fresh agreement dated 2091997 a revised payment schedule was agreed and IOC agreed to re commence supply of aircraft fuel on 'cash and carry' basis.,30
IOC,respondent,agreed to re commence supply of aircraft fuel on,'cash and carry' basis,basis,IOC agreed to provide aircraft fuel under a 'cash and carry' arrangement.,"However subsequently under a fresh agreement dated 2091997, a revised payment schedule was agreed and IOC agreed to re commence supply of aircraft fuel on 'cash and carry' basis.",30
definition,Ratio-Decidendi,demonstrated that,they,Accused,The legal principle demonstrated that the accused party is unable to proceed with fixing a deal.,The definition demonstrated that they are not in the position of fixing a deal.,7
NEPC India,plaintiff,filed CS No.425 of 1997,Madras High Court,court,the plaintiff filed a case in the court.,NEPC India filed CS No.425 of 1997 in the Madras High Court seeking a mandatory injunction to the Airport Authority of India and Director General of Civil Aviation to detain the said aircraft stationed at Coimbatore Airport under section 8 of the Aircraft Act 1934 so as to enable it to take possession thereof.,34
Madras High Court,court,venue,NEPC India,plaintiff,the court is the venue where the plaintiff filed the case.,NEPC India filed CS No.425 of 1997 in the Madras High Court seeking a mandatory injunction to the Airport Authority of India and Director General of Civil Aviation to detain the said aircraft stationed at Coimbatore Airport under section 8 of the Aircraft Act 1934 so as to enable it to take possession thereof.,34
Airport Authority of India,defendant,sued by,NEPC India,plaintiff,the defendant was sued by the plaintiff.,NEPC India filed CS No.425 of 1997 in the Madras High Court seeking a mandatory injunction to the Airport Authority of India and Director General of Civil Aviation to detain the said aircraft stationed at Coimbatore Airport under section 8 of the Aircraft Act 1934 so as to enable it to take possession thereof.,34
Director General of Civil Aviation,defendant,sued by,NEPC India,plaintiff,the defendant was sued by the plaintiff.,NEPC India filed CS No.425 of 1997 in the Madras High Court seeking a mandatory injunction to the Airport Authority of India and Director General of Civil Aviation to detain the said aircraft stationed at Coimbatore Airport under section 8 of the Aircraft Act 1934 so as to enable it to take possession thereof.,34
section 8 of the Aircraft Act 1934,legislation,applied by,Airport Authority of India,defendant,the legislation was applied to the defendant.,NEPC India filed CS No.425 of 1997 in the Madras High Court seeking a mandatory injunction to the Airport Authority of India and Director General of Civil Aviation to detain the said aircraft stationed at Coimbatore Airport under section 8 of the Aircraft Act 1934 so as to enable it to take possession thereof.,34
NEPC India,,,Company,,,Apprehending that NEPC India may remove the hypothecated aircraft (VT NEJ) from Coimbatore Airport to a place outside its reach IOC filed CS No.425 of 1997 in the Madras High Court seeking a mandatory injunction to the Airport Authority of India and Director General of Civil Aviation to detain the said aircraft stationed at Coimbatore Airport u section 8 of the Aircraft Act 1934 so as to enable it to take possession thereof.,34
IOC,,,Company,,,Apprehending that NEPC India may remove the hypothecated aircraft (VT NEJ) from Coimbatore Airport to a place outside its reach IOC filed CS No.425 of 1997 in the Madras High Court seeking a mandatory injunction to the Airport Authority of India and Director General of Civil Aviation to detain the said aircraft stationed at Coimbatore Airport u section 8 of the Aircraft Act 1934 so as to enable it to take possession thereof.,34
Aircraft Act 1934,,,Statute,,,Apprehending that NEPC India may remove the hypothecated aircraft (VT NEJ) from Coimbatore Airport to a place outside its reach IOC filed CS No.425 of 1997 in the Madras High Court seeking a mandatory injunction to the Airport Authority of India and Director General of Civil Aviation to detain the said aircraft stationed at Coimbatore Airport u section 8 of the Aircraft Act 1934 so as to enable it to take possession thereof.,34
The High Court,Court,restrained,NEPC India,defendant,,The High Court granted an interim injunction on 1691997 restraining NEPC India from removing the aircraft (VT NEJ) from Coimbatore Airport.,37
The High Court,court,granted,interim injunction,legal claim or conflict,the court issued an order to prevent the defendant from acting.,The High Court granted an interim injunction on 1691997 restraining NEPC India from removing the aircraft (VT NEJ) from Coimbatore Airport.,37
NEPC India,company,restrained from,removing the aircraft,criminal act,the company was legally prevented from engaging in prohibited actions.,The High Court granted an interim injunction on 1691997 restraining NEPC India from removing the aircraft (VT NEJ) from Coimbatore Airport.,37
VT NEJ,object,being removed,removal,action,the court prevented the removal of this object.,The High Court granted an interim injunction on 1691997 restraining NEPC India from removing the aircraft (VT NEJ) from Coimbatore Airport.,37
High Court,Government,granted an interim injunction on,NEPC India,defendant,The court granted an order to prevent the defendant from removing the aircraft.,The High Court granted an interim injunction on 1691997 restraining NEPC India from removing the aircraft (VT NEJ) from Coimbatore Airport.,37
High Court,court,granted,NEPC India,respondent,"The court granted an injunction against the respondent, NEPC India.",The High Court granted an interim injunction on 1691997 restraining NEPC India from removing the aircraft (VT NEJ) from Coimbatore Airport.,37
,,,,,,The definition demonstrated that they are not in the position of fixing a deal.,40
,,,,,,8.,40
