Entity,Entity Type,Sentence
Examples 5 and 6 get into more complex relations,like creeks flowing into each other and members of parliament.,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
Now,,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
Looking at the examples,entities are usually proper nouns or specific terms. So I can start by listing each unique proper noun or term that stands out.,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
This looks like an abbreviation within a term,"perhaps ""Victim Trust Escrow and Compliance Program"" or something related to legal processes. It might be a specific program or entity within a larger organization.","four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
This is a legal term,so it's an entity type within the context of legal documents.,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
This is another legal term,referring to an agreement among three parties.,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
Now,,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
could be a governing body (government) or a state in the USA. Given the context,it's more likely a government entity.,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
For each entity,,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
Likely an organization (as seen in Example 4 where 'Pakistan' is a country,and 'Saleem Safi' is a person).,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
A specific program within an organization,so it would be an entity of type 'program' or 'specific initiative.',"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
As a governing body,it's a government entity.,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
Could be a system or service,so 'system' or 'service.',"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
A legal document,so 'legal document.',"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
An agreement among three parties,so 'agreement.',"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
Now,,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
organization,involved in legal actions.,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
organization,possibly related to legal processes.,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
program,part of nepc india's initiatives.,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
government entity,overseeing the agreement.,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
system,used in payment and recovery processes.,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
legal document,detailing property agreements.,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
Based on the analysis of the given sentence and the context from the provided examples,,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
Type,Relation/Context,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
organization,involved in legal actions.,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
organization,possibly related to legal processes.,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
This structure ensures clarity and specificity based on the context provided,helping to understand the roles and relationships within the sentence.,"four. clause ( six ) nepc india declare would assign sell pledge charge underlet otherwise encumber part possession custody beneficial interest respect two aircraft without previous write consent ioc. also undertook act may diminish value hypothecate property without clear entire outstanding amount. clause. ( nine ) provide nepc india fail pay installment interest within stipulated time undertake assurance give nepc india find false ioc shall right take possession hypothecate property sell public auction private contract appropriate sale proceeds towards outstanding due without recourse court law. clause. twelve confirm nepc india hand title deed relate aircraft ioc agree receive back pay amount due. state skyline also hypothecate aircraft ( vt ecp ) separate hypothecation deed date one million, four hundred and fifty one thousand, nine hundred and ninety seven. state tripartite agreement date six hundred and fifty one thousand, nine hundred and ninety seven enter among ioc nepc india skyline setting mode payment due recovery event default."
Putting it all together,,"five. nepc india fail pay first two installment per schedule ioc stop supply aircraft fuel three hundred and sixty one thousand, nine hundred and ninety seven. however subsequently fresh agreement date two million, ninety one thousand, nine hundred and ninety seven revised payment schedule agree ioc agree commence supply aircraft fuel 'cash carry ' basis. even arrangement come end installment pay."
